Scenario	Year	Policy Goal	Target	Metric	Target_v	Metric_v	Country
REF-	2030	Envir	T_EV_CW	M_EV_CW	1	0.036010342	EU28
REF-	2030	Envir	T_EV_BC	M_EV_BC	1	0.501235817	EU28
REF-	2030	Envir	T_EV_PNR	M_EV_PNR	1	-1	EU28
REF-	2030	Diet	T_D_FBIS	M_D_FBIS	1	0	FRA
REF-	2030	Diet	T_D_NBIS	M_D_NBIS	1	0	FRA
REF-	2030	Diet	T_D_ENBA	M_D_ENBA	1	-1	FRA
REF-	2030	Diet	T_D_DUM	M_D_DUM	1	-1	FRA
REF-	2030	Equity	T_E_FOF	M_E_FOF	1	-1	FRA
REF-	2030	Equity	T_E_CSO	M_E_CSO	1	-1	FRA
REF-	2030	Equity	T_E_CSC	M_E_CSC	1	-1	FRA
REF-	2030	Equity	T_E_PCA	M_E_PCA	1	-1	FRA
REF-	2030	Compet	T_C_VD	M_C_VD	1	0.152190948	FRA
REF-	2030	Compet	T_C_JW	M_C_JW	1	0.667497456	FRA
REF-	2030	Compet	T_C_PRD	M_C_PRD	1	0.399319976	FRA
REF-	2030	Compet	T_C_TRP	M_C_TRP	1	0.924133897	FRA
REF-	2030	Envir	T_EV_CS	M_EV_CS	1	0.00916396	FRA
REF-	2030	Envir	T_EV_CW	M_EV_CW	1	0.459262435	FRA
REF-	2030	Envir	T_EV_BC	M_EV_BC	1	0.495387594	FRA
REF-	2030	Envir	T_EV_PNR	M_EV_PNR	1	-1	FRA
REF-	2030	Diet	T_D_FBIS	M_D_FBIS	1	0	ITA
REF-	2030	Diet	T_D_NBIS	M_D_NBIS	1	-1	ITA
REF-	2030	Diet	T_D_ENBA	M_D_ENBA	1	-1	ITA
REF-	2030	Diet	T_D_DUM	M_D_DUM	1	-1	ITA
REF-	2030	Equity	T_E_FOF	M_E_FOF	1	-1	ITA
REF-	2030	Equity	T_E_CSO	M_E_CSO	1	-1	ITA
REF-	2030	Equity	T_E_CSC	M_E_CSC	1	-1	ITA
REF-	2030	Equity	T_E_PCA	M_E_PCA	1	-1	ITA
REF-	2030	Compet	T_C_VD	M_C_VD	1	0.193097282	ITA
REF-	2030	Compet	T_C_JW	M_C_JW	1	0.700089038	ITA
