Scenario,Year,Policy Goal,Target,Metric,Target_v,Metric_v,Country
Business-as-usual outlook,2020,Equity,T_E_CSC,M_E_CSC,1,-1,CZE
Business-as-usual outlook,2020,Equity,T_E_PCA,M_E_PCA,1,-1,CZE
Business-as-usual outlook,2020,Compet,T_C_EPP,M_C_EPP,1,0.303901484,CZE
Business-as-usual outlook,2020,Compet,T_C_OST,M_C_OST,1,0.447614044,CZE
Business-as-usual outlook,2020,Compet,T_C_RPT,M_C_RPT,1,0.475960329,CZE
Business-as-usual outlook,2020,Compet,T_C_DUM,M_C_DUM,1,0.927757442,CZE
Business-as-usual outlook,2020,Envir,T_EV_CS,M_EV_CS,1,-1,CZE
Business-as-usual outlook,2020,Envir,T_EV_CW,M_EV_CW,1,-1,CZE
Business-as-usual outlook,2020,Envir,T_EV_BC,M_EV_BC,1,-1,CZE
Business-as-usual outlook,2020,Envir,T_EV_PNR,M_EV_PNR,1,-1,CZE
Business-as-usual outlook,2020,Diets,T_D_FBIS,M_D_FBIS,1,1.395467345,DNK
Business-as-usual outlook,2020,Diets,T_D_NBIS,M_D_NBIS,1,1.214778404,DNK
Business-as-usual outlook,2020,Diets,T_D_ENBA,M_D_ENBA,1,-1,DNK
Business-as-usual outlook,2020,Diets,T_D_DUM,M_D_DUM,1,-1,DNK
Business-as-usual outlook,2020,Equity,T_E_FOF,M_E_FOF,1,-1,DNK
Business-as-usual outlook,2020,Equity,T_E_CSO,M_E_CSO,1,-1,DNK
Business-as-usual outlook,2020,Equity,T_E_CSC,M_E_CSC,1,-1,DNK
Business-as-usual outlook,2020,Equity,T_E_PCA,M_E_PCA,1,-1,DNK
Business-as-usual outlook,2020,Compet,T_C_EPP,M_C_EPP,1,0.274212946,DNK
Business-as-usual outlook,2020,Compet,T_C_OST,M_C_OST,1,0.508057565,DNK
Business-as-usual outlook,2020,Compet,T_C_RPT,M_C_RPT,1,0.300130084,DNK
Business-as-usual outlook,2020,Compet,T_C_DUM,M_C_DUM,1,0.93572998,DNK
Business-as-usual outlook,2020,Envir,T_EV_CS,M_EV_CS,1,-1,DNK
Business-as-usual outlook,2020,Envir,T_EV_CW,M_EV_CW,1,-1,DNK
Business-as-usual outlook,2020,Envir,T_EV_BC,M_EV_BC,1,-1,DNK
Business-as-usual outlook,2020,Envir,T_EV_PNR,M_EV_PNR,1,-1,DNK
Business-as-usual outlook,2020,Diets,T_D_FBIS,M_D_FBIS,1,1.558807691,FRA
Business-as-usual outlook,2020,Diets,T_D_NBIS,M_D_NBIS,1,1.205974045,FRA
Business-as-usual outlook,2020,Diets,T_D_ENBA,M_D_ENBA,1,-1,FRA
Business-as-usual outlook,2020,Diets,T_D_DUM,M_D_DUM,1,-1,FRA
Business-as-usual outlook,2020,Equity,T_E_FOF,M_E_FOF,1,-1,FRA
Business-as-usual outlook,2020,Equity,T_E_CSO,M_E_CSO,1,-1,FRA
Business-as-usual outlook,2020,Equity,T_E_CSC,M_E_CSC,1,-1,FRA
Business-as-usual outlook,2020,Equity,T_E_PCA,M_E_PCA,1,-1,FRA
Business-as-usual outlook,2020,Compet,T_C_EPP,M_C_EPP,1,0.344890366,FRA
Business-as-usual outlook,2020,Compet,T_C_OST,M_C_OST,1,0.527362496,FRA
Business-as-usual outlook,2020,Compet,T_C_RPT,M_C_RPT,1,0.462266728,FRA
Business-as-usual outlook,2020,Compet,T_C_DUM,M_C_DUM,1,0.934963882,FRA
Business-as-usual outlook,2020,Envir,T_EV_CS,M_EV_CS,1,-1,FRA
Business-as-usual outlook,2020,Envir,T_EV_CW,M_EV_CW,1,-1,FRA
Business-as-usual outlook,2020,Envir,T_EV_BC,M_EV_BC,1,-1,FRA
Business-as-usual outlook,2020,Envir,T_EV_PNR,M_EV_PNR,1,-1,FRA
Business-as-usual outlook,2020,Diets,T_D_FBIS,M_D_FBIS,1,1.626934775,ITA
Business-as-usual outlook,2020,Diets,T_D_NBIS,M_D_NBIS,1,1.217781868,ITA
Business-as-usual outlook,2020,Diets,T_D_ENBA,M_D_ENBA,1,-1,ITA
Business-as-usual outlook,2020,Diets,T_D_DUM,M_D_DUM,1,-1,ITA
Business-as-usual outlook,2020,Equity,T_E_FOF,M_E_FOF,1,-1,ITA
Business-as-usual outlook,2020,Equity,T_E_CSO,M_E_CSO,1,-1,ITA
Business-as-usual outlook,2020,Equity,T_E_CSC,M_E_CSC,1,-1,ITA
Business-as-usual outlook,2020,Equity,T_E_PCA,M_E_PCA,1,-1,ITA
Business-as-usual outlook,2020,Compet,T_C_EPP,M_C_EPP,1,0.410039465,ITA
Business-as-usual outlook,2020,Compet,T_C_OST,M_C_OST,1,0.606130153,ITA
Business-as-usual outlook,2020,Compet,T_C_RPT,M_C_RPT,1,0.594772399,ITA
Business-as-usual outlook,2020,Compet,T_C_DUM,M_C_DUM,1,0.963294089,ITA
Business-as-usual outlook,2020,Envir,T_EV_CS,M_EV_CS,1,-1,ITA
Business-as-usual outlook,2020,Envir,T_EV_CW,M_EV_CW,1,-1,ITA
Business-as-usual outlook,2020,Envir,T_EV_BC,M_EV_BC,1,-1,ITA
Business-as-usual outlook,2020,Envir,T_EV_PNR,M_EV_PNR,1,-1,ITA
Business-as-usual outlook,2030,Diets,T_D_FBIS,M_D_FBIS,1,1.119404316,CZE
Business-as-usual outlook,2030,Diets,T_D_NBIS,M_D_NBIS,1,1.076731243,CZE
Business-as-usual outlook,2030,Diets,T_D_ENBA,M_D_ENBA,1,-1,CZE
Business-as-usual outlook,2030,Diets,T_D_DUM,M_D_DUM,1,-1,CZE
Business-as-usual outlook,2030,Equity,T_E_FOF,M_E_FOF,1,-1,CZE
Business-as-usual outlook,2030,Equity,T_E_CSO,M_E_CSO,1,-1,CZE
Business-as-usual outlook,2030,Equity,T_E_CSC,M_E_CSC,1,-1,CZE
Business-as-usual outlook,2030,Equity,T_E_PCA,M_E_PCA,1,-1,CZE
Business-as-usual outlook,2030,Compet,T_C_EPP,M_C_EPP,1,0.318556299,CZE
Business-as-usual outlook,2030,Compet,T_C_OST,M_C_OST,1,0.670257598,CZE
Business-as-usual outlook,2030,Compet,T_C_RPT,M_C_RPT,1,0.43635726,CZE
Business-as-usual outlook,2030,Compet,T_C_DUM,M_C_DUM,1,0.923852026,CZE
Business-as-usual outlook,2030,Envir,T_EV_CS,M_EV_CS,1,0.058585841,CZE
Business-as-usual outlook,2030,Envir,T_EV_CW,M_EV_CW,1,0.272925988,CZE
Business-as-usual outlook,2030,Envir,T_EV_BC,M_EV_BC,1,0.024406786,CZE
Business-as-usual outlook,2030,Envir,T_EV_PNR,M_EV_PNR,1,-1,CZE
Business-as-usual outlook,2030,Diets,T_D_FBIS,M_D_FBIS,1,1.377533197,DNK
Business-as-usual outlook,2030,Diets,T_D_NBIS,M_D_NBIS,1,1.201906471,DNK
Business-as-usual outlook,2030,Diets,T_D_ENBA,M_D_ENBA,1,-1,DNK
Business-as-usual outlook,2030,Diets,T_D_DUM,M_D_DUM,1,-1,DNK
Business-as-usual outlook,2030,Equity,T_E_FOF,M_E_FOF,1,-1,DNK
Business-as-usual outlook,2030,Equity,T_E_CSO,M_E_CSO,1,-1,DNK
Business-as-usual outlook,2030,Equity,T_E_CSC,M_E_CSC,1,-1,DNK
Business-as-usual outlook,2030,Equity,T_E_PCA,M_E_PCA,1,-1,DNK
Business-as-usual outlook,2030,Compet,T_C_EPP,M_C_EPP,1,0.304486404,DNK
Business-as-usual outlook,2030,Compet,T_C_OST,M_C_OST,1,0.755642891,DNK
Business-as-usual outlook,2030,Compet,T_C_RPT,M_C_RPT,1,0.26911296,DNK
Business-as-usual outlook,2030,Compet,T_C_DUM,M_C_DUM,1,0.924543023,DNK
Business-as-usual outlook,2030,Envir,T_EV_CS,M_EV_CS,1,0.110352189,DNK
Business-as-usual outlook,2030,Envir,T_EV_CW,M_EV_CW,1,0.277735667,DNK
Business-as-usual outlook,2030,Envir,T_EV_BC,M_EV_BC,1,0.021912571,DNK
Business-as-usual outlook,2030,Envir,T_EV_PNR,M_EV_PNR,1,-1,DNK
Business-as-usual outlook,2030,Diets,T_D_FBIS,M_D_FBIS,1,1.547943195,FRA
Business-as-usual outlook,2030,Diets,T_D_NBIS,M_D_NBIS,1,1.202341499,FRA
Business-as-usual outlook,2030,Diets,T_D_ENBA,M_D_ENBA,1,-1,FRA
Business-as-usual outlook,2030,Diets,T_D_DUM,M_D_DUM,1,-1,FRA
Business-as-usual outlook,2030,Equity,T_E_FOF,M_E_FOF,1,-1,FRA
Business-as-usual outlook,2030,Equity,T_E_CSO,M_E_CSO,1,-1,FRA
Business-as-usual outlook,2030,Equity,T_E_CSC,M_E_CSC,1,-1,FRA
Business-as-usual outlook,2030,Equity,T_E_PCA,M_E_PCA,1,-1,FRA
Business-as-usual outlook,2030,Compet,T_C_EPP,M_C_EPP,1,0.342547655,FRA
Business-as-usual outlook,2030,Compet,T_C_OST,M_C_OST,1,0.705383599,FRA
Business-as-usual outlook,2030,Compet,T_C_RPT,M_C_RPT,1,0.399058983,FRA
Business-as-usual outlook,2030,Compet,T_C_DUM,M_C_DUM,1,0.924769104,FRA
Business-as-usual outlook,2030,Envir,T_EV_CS,M_EV_CS,1,0.738163087,FRA
Business-as-usual outlook,2030,Envir,T_EV_CW,M_EV_CW,1,1,FRA
Business-as-usual outlook,2030,Envir,T_EV_BC,M_EV_BC,1,0.024714697,FRA
Business-as-usual outlook,2030,Envir,T_EV_PNR,M_EV_PNR,1,-1,FRA
Business-as-usual outlook,2030,Diets,T_D_FBIS,M_D_FBIS,1,1.612843641,ITA
Business-as-usual outlook,2030,Diets,T_D_NBIS,M_D_NBIS,1,1.213275757,ITA
Business-as-usual outlook,2030,Diets,T_D_ENBA,M_D_ENBA,1,-1,ITA
Business-as-usual outlook,2030,Diets,T_D_DUM,M_D_DUM,1,-1,ITA
Business-as-usual outlook,2030,Equity,T_E_FOF,M_E_FOF,1,-1,ITA
Business-as-usual outlook,2030,Equity,T_E_CSO,M_E_CSO,1,-1,ITA
Business-as-usual outlook,2030,Equity,T_E_CSC,M_E_CSC,1,-1,ITA
Business-as-usual outlook,2030,Equity,T_E_PCA,M_E_PCA,1,-1,ITA
Business-as-usual outlook,2030,Compet,T_C_EPP,M_C_EPP,1,0.389764309,ITA
Business-as-usual outlook,2030,Compet,T_C_OST,M_C_OST,1,0.742488027,ITA
Business-as-usual outlook,2030,Compet,T_C_RPT,M_C_RPT,1,0.496155113,ITA
Business-as-usual outlook,2030,Compet,T_C_DUM,M_C_DUM,1,0.957020283,ITA
Business-as-usual outlook,2030,Envir,T_EV_CS,M_EV_CS,1,0.271813842,ITA
Business-as-usual outlook,2030,Envir,T_EV_CW,M_EV_CW,1,1,ITA
Business-as-usual outlook,2030,Envir,T_EV_BC,M_EV_BC,1,0.027219655,ITA
Business-as-usual outlook,2030,Envir,T_EV_PNR,M_EV_PNR,1,-1,ITA
Business-as-usual outlook,2040,Diets,T_D_FBIS,M_D_FBIS,1,1.119354308,CZE
Business-as-usual outlook,2040,Diets,T_D_NBIS,M_D_NBIS,1,1.076006374,CZE
Business-as-usual outlook,2040,Diets,T_D_ENBA,M_D_ENBA,1,-1,CZE
Business-as-usual outlook,2040,Diets,T_D_DUM,M_D_DUM,1,-1,CZE
Business-as-usual outlook,2040,Equity,T_E_FOF,M_E_FOF,1,-1,CZE
Business-as-usual outlook,2040,Equity,T_E_CSO,M_E_CSO,1,-1,CZE
Business-as-usual outlook,2040,Equity,T_E_CSC,M_E_CSC,1,-1,CZE
Business-as-usual outlook,2040,Equity,T_E_PCA,M_E_PCA,1,-1,CZE
Business-as-usual outlook,2040,Compet,T_C_EPP,M_C_EPP,1,0.330656767,CZE
Business-as-usual outlook,2040,Compet,T_C_OST,M_C_OST,1,0.802337885,CZE
Business-as-usual outlook,2040,Compet,T_C_RPT,M_C_RPT,1,0.376743555,CZE
Business-as-usual outlook,2040,Compet,T_C_DUM,M_C_DUM,1,0.909645915,CZE
Business-as-usual outlook,2040,Envir,T_EV_CS,M_EV_CS,1,-1,CZE
Business-as-usual outlook,2040,Envir,T_EV_CW,M_EV_CW,1,-1,CZE
Business-as-usual outlook,2040,Envir,T_EV_BC,M_EV_BC,1,-1,CZE
Business-as-usual outlook,2040,Envir,T_EV_PNR,M_EV_PNR,1,-1,CZE
Business-as-usual outlook,2040,Diets,T_D_FBIS,M_D_FBIS,1,1.360525012,DNK
Business-as-usual outlook,2040,Diets,T_D_NBIS,M_D_NBIS,1,1.185912971,DNK
Business-as-usual outlook,2040,Diets,T_D_ENBA,M_D_ENBA,1,-1,DNK
Business-as-usual outlook,2040,Diets,T_D_DUM,M_D_DUM,1,-1,DNK
Business-as-usual outlook,2040,Equity,T_E_FOF,M_E_FOF,1,-1,DNK
Business-as-usual outlook,2040,Equity,T_E_CSO,M_E_CSO,1,-1,DNK
Business-as-usual outlook,2040,Equity,T_E_CSC,M_E_CSC,1,-1,DNK
Business-as-usual outlook,2040,Equity,T_E_PCA,M_E_PCA,1,-1,DNK
